"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","37872","hoursFlow","Selenide Suite","2025-11-09","failed","2025-11-09","suites.HoursColombiaSuite","Hours Colombia","suites.HoursColombiaSuite","hoursFlow"
"","36307","hoursFlow","Selenide Suite","2025-11-09","failed","2025-11-09","suites.HoursColombiaSuite","Hours Colombia","suites.HoursColombiaSuite","hoursFlow"
"","9804","hoursFlow","Selenide Suite","2025-11-09","failed","2025-11-09","suites.HoursColombiaSuite","Hours Colombia","suites.HoursColombiaSuite","hoursFlow"
"","9054","hoursFlow","Selenide Suite","2025-11-09","failed","2025-11-09","suites.HoursColombiaSuite","Hours Colombia","suites.HoursColombiaSuite","hoursFlow"
"","9096","hoursFlow","Selenide Suite","2025-11-09","failed","2025-11-09","suites.HoursColombiaSuite","Hours Colombia","suites.HoursColombiaSuite","hoursFlow"
"","35996","hoursFlow","Selenide Suite","2025-11-09","failed","2025-11-09","suites.HoursColombiaSuite","Hours Colombia","suites.HoursColombiaSuite","hoursFlow"
"","37093","hoursFlow","Selenide Suite","2025-11-09","failed","2025-11-09","suites.HoursColombiaSuite","Hours Colombia","suites.HoursColombiaSuite","hoursFlow"
"","9252","hoursFlow","Selenide Suite","2025-11-09","failed","2025-11-09","suites.HoursColombiaSuite","Hours Colombia","suites.HoursColombiaSuite","hoursFlow"
"","31337","hoursFlow","Selenide Suite","2025-11-09","failed","2025-11-09","suites.HoursColombiaSuite","Hours Colombia","suites.HoursColombiaSuite","hoursFlow"
"","9237","hoursFlow","Selenide Suite","2025-11-09","failed","2025-11-09","suites.HoursColombiaSuite","Hours Colombia","suites.HoursColombiaSuite","hoursFlow"
"","36884","hoursFlow","Selenide Suite","2025-11-09","failed","2025-11-09","suites.HoursColombiaSuite","Hours Colombia","suites.HoursColombiaSuite","hoursFlow"
"","9112","hoursFlow","Selenide Suite","2025-11-09","failed","2025-11-09","suites.HoursColombiaSuite","Hours Colombia","suites.HoursColombiaSuite","hoursFlow"
"","24730","hoursFlow","Selenide Suite","2025-11-09","failed","2025-11-09","suites.HoursColombiaSuite","Hours Colombia","suites.HoursColombiaSuite","hoursFlow"
"","9245","hoursFlow","Selenide Suite","2025-11-09","failed","2025-11-09","suites.HoursColombiaSuite","Hours Colombia","suites.HoursColombiaSuite","hoursFlow"
"","9276","hoursFlow","Selenide Suite","2025-11-09","failed","2025-11-09","suites.HoursColombiaSuite","Hours Colombia","suites.HoursColombiaSuite","hoursFlow"
"","31146","hoursFlow","Selenide Suite","2025-11-09","failed","2025-11-09","suites.HoursColombiaSuite","Hours Colombia","suites.HoursColombiaSuite","hoursFlow"
"","31135","hoursFlow","Selenide Suite","2025-11-09","failed","2025-11-09","suites.HoursColombiaSuite","Hours Colombia","suites.HoursColombiaSuite","hoursFlow"
"","45268","hoursFlow","Selenide Suite","2025-11-09","failed","2025-11-09","suites.HoursColombiaSuite","Hours Colombia","suites.HoursColombiaSuite","hoursFlow"
